'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA'
3053, 78, 370, 905, 427, 291, 387, 258, 348, 1028, 327, 418, 905, 419, 484, 325, 448, 310, 335, 351, 532
3054, 109, 2590, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814, 5814
3055, 83, 5657, 11561, 11561, 318, 11561, 11561, 11561, 11561, 11561, 11561, 11561, 11561, 11561, 11561, 11561, 435, 674, 437, 11561
3056, 79, 1053, 2274, 413, 614, 2274, 873, 2274, 485, 418, 1205, 429, 408, 546, 406, 432, 348, 380, 288, 339
3057, 81, 1049, 2276, 2276, 424, 367, 538, 2276, 706, 2276, 747, 309, 263, 350, 379, 2276, 344, 265, 2276, 2276
3058, 76, 2029, 3254, 3254, 3254, 3254, 387, 3254, 3254, 3254, 1448, 3254, 493, 3254, 370, 3254, 3254, 3254, 3254, 3254
3059, 79, 1117, 2400, 774, 357, 2400, 434, 858, 526, 410, 406, 377, 457, 391, 526, 496, 394, 374, 391, 428
3060, 76, 1592, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596, 3596
3061, 84, 4493, 9411, 9411, 9411, 9411, 311, 9411, 2072, 543, 9411, 443, 9411, 9411, 9411, 9411, 301, 358, 513, 620
3062, 86, 1406, 2995, 2995, 350, 1605, 315, 2995, 2995, 373, 335, 1412, 390, 390, 450, 340, 352, 601, 292, 483
3063, 78, 3207, 6977, 6977, 365, 6977, 343, 6977, 6977, 6977, 6977, 6977, 6977, 6977, 6977, 6977, 6977, 412, 370, 6977
3064, 81, 304, 780, 334, 395, 387, 780, 780, 486, 780, 780, 342, 780, 277, 780, 518, 780, 343, 363, 780
3065, 84, 2483, 5177, 1038, 5177, 5177, 368, 894, 306, 5177, 479, 359, 248, 440, 379, 444, 354, 437, 391, 371
3066, 82, 972, 2115, 337, 347, 418, 361, 2115, 347, 440, 415, 345, 399, 370, 485, 363, 323, 26110, 324, 529
3067, 83, 2383, 4949, 378, 343, 4949, 514, 404, 358, 362, 420, 513, 449, 434, 471, 445, 415, 640, 328, 325
3068, 77, 3976, 8659, 8659, 8659, 8659, 397, 8659, 8659, 8659, 8659, 8659, 8659, 8659, 8659, 8659, 8659, 8659, 8659, 8659
3069, 77, 795, 1751, 352, 326, 290, 364, 524, 505, 436, 322, 354, 310, 277, 394, 449, 290, 33448, 404, 335
3070, 81, 3966, 8349, 8349, 367, 8349, 297, 8349, 8349, 8349, 8349, 435, 8349, 398, 8349, 8349, 8349, 363, 482, 8349
3071, 76, 588, 1331, 294, 321, 356, 412, 406, 394, 393, 1331, 306, 397, 376, 444, 456, 424, 11155, 313, 405
3073, 61, 1555, 3247, 313, 391, 5063, 562, 3247, 359, 391, 422, 5515, 3047, 500, 484, 390, 359, 375, 328, 594
3074, 55, 303, 751, 751, 407, 751, 422, 751, 751, 751, 751, 751, 751, 751, 751, 751, 751, 390, 421, 751
3075, 79, 1292, 2755, 2755, 2755, 346, 287, 2755, 354, 398, 2755, 2755, 354, 363, 701, 360, 2755, 384, 2755, 398
3076, 56, 164, 454, 343, 313, 454, 454, 454, 454, 454, 454, 343, 422, 375, 454, 454, 344, 454, 328, 454
3077, 58, 192, 494, 359, 328, 494, 494, 494, 494, 494, 494, 375, 453, 390, 494, 494, 375, 494, 359, 494
3078, 57, 182, 488, 328, 328, 488, 360, 488, 488, 360, 488, 375, 422, 391, 406, 488, 343, 359, 328, 488
3079, 62, 1700, 3536, 1859, 359, 6000, 312, 3536, 578, 391, 3536, 3187, 281, 422, 578, 750, 390, 375, 860, 390
3080, 62, 1315, 2761, 2761, 375, 313, 453, 2761, 2761, 407, 406, 313, 422, 422, 391, 406, 391, 88219, 718, 360
3082, 61, 1092, 2317, 328, 359, 281, 359, 328, 2317, 390, 312, 344, 2317, 375, 375, 328, 485, 344, 312, 375
3083, 59, 484, 1099, 328, 1099, 1099, 1099, 1099, 1099, 1099, 1099, 344, 1099, 390, 1099, 1099, 453, 1099, 359, 1099
3084, 63, 2926, 6085, 6085, 6085, 6085, 422, 6085, 360, 485, 422, 27641, 6085, 360, 6085, 297, 328, 313, 313, 422
3085, 59, 961, 2049, 344, 313, 2049, 281, 313, 437, 375, 2049, 328, 454, 469, 547, 2049, 391, 2750, 282, 344
